# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Client_Info,,,,,,,,,,
# 20201001-20210320,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Date,Metro,Region,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
Crozet,20210302,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210304,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210305,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210306,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Cutler Bay,20210205,Miami-Ft. Lauderdale FL,Florida,1,1,2,50.00%,1.5,00:00:34,0
Cutler Bay,20210206,Miami-Ft. Lauderdale FL,Florida,1,0,3,0.00%,3,00:01:20,0
Davie,20210202,Miami-Ft. Lauderdale FL,Florida,1,1,1,0.00%,2,00:00:26,0
Des Moines,20201225,Seattle-Tacoma WA,Washington,1,1,1,100.00%,1,00:00:00,0
Doctor Phillips,20210310,Orlando-Daytona Beach-Melbourne FL,Florida,1,0,1,0.00%,15,00:10:52,0
Doctor Phillips,20210312,Orlando-Daytona Beach-Melbourne FL,Florida,1,1,1,0.00%,3,00:00:29,0
Doral,20210105,Miami-Ft. Lauderdale FL,Florida,1,1,1,100.00%,1,00:00:00,0
Doral,20210217,Miami-Ft. Lauderdale FL,Florida,1,1,1,0.00%,5,00:04:39,0
Doral,20210311,Miami-Ft. Lauderdale FL,Florida,1,0,1,0.00%,10,00:21:11,0
Druid Hills,20210124,Atlanta GA,Georgia,1,1,1,100.00%,1,00:00:00,0
Dry Run,20210314,Cincinnati OH,Ohio,1,1,1,0.00%,2,00:00:09,0
Dunwoody,20210131,Atlanta GA,Georgia,1,1,1,0.00%,5,00:01:57,0
Dunwoody,20210201,Atlanta GA,Georgia,1,1,1,0.00%,2,00:00:04,0
Dunwoody,20210227,Atlanta GA,Georgia,1,1,1,100.00%,1,00:00:00,0
Dunwoody,20210228,Atlanta GA,Georgia,1,1,1,0.00%,4,00:02:09,0
Eagan,20201224,Minneapolis-St. Paul MN,Minnesota,1,1,1,100.00%,1,00:00:00,0
Eagle Mountain,20201223,Salt Lake City UT,Utah,1,1,2,50.00%,1.5,00:08:57,0
Eagle Mountain,20201228,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Eagle Mountain,20201230,Salt Lake City UT,Utah,1,0,1,100.00%,1,00:00:00,0
Eagle Mountain,20210109,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Eagle Mountain,20210124,Salt Lake City UT,Utah,1,1,1,0.00%,3,00:00:44,0
Eagle Mountain,20210202,Salt Lake City UT,Utah,1,1,1,0.00%,2,00:00:10,0
