# ----------------------------------------
# All Web Site Data
# Flat File Report
# 20201001-20210314
# ----------------------------------------

Date,Hour,Avg. Session Duration,Avg. Time on Page,Avg. Time on Screen,Bounce Rate,Bounces,Exits,Hits,New Users,Number of Sessions per User,Pages / Session,Pageviews,Results Pageviews / Search,Screen Views,Screens / Session,Session Duration,Sessions,Total Unique Searches,Unique Pageviews,Unique Screen Views,Users
20201001,05,00:11:48,00:02:35,00:00:00,0.00%,0,1,11,2,1.00,5.00,10,0.00,0,0.00,00:23:35,2,0,9,0,2
20201211,07,00:11:47,00:00:39,00:00:00,0.00%,0,1,24,1,1.00,19.00,19,0.00,0,0.00,00:11:47,1,0,15,0,1
20201126,08,00:11:45,00:04:42,00:00:00,0.00%,0,1,6,2,1.00,3.00,6,0.00,0,0.00,00:23:29,2,0,5,0,2
20201021,11,00:11:43,00:01:58,00:00:00,0.00%,0,1,8,2,1.00,3.50,7,0.00,0,0.00,00:23:25,2,0,6,0,2
20201105,13,00:11:38,00:01:27,00:00:00,33.33%,1,3,33,3,1.00,9.00,27,0.00,0,0.00,00:34:54,3,0,17,0,3
20201207,11,00:11:32,00:01:55,00:00:00,0.00%,0,4,41,4,1.00,6.60,33,0.00,0,0.00,00:57:41,5,0,20,0,5
20210218,08,00:11:32,00:01:33,00:00:00,33.33%,1,2,13,0,1.00,4.00,12,0.00,0,0.00,00:34:36,3,0,12,0,3
20201220,07,00:11:29,00:05:44,00:00:00,25.00%,1,4,12,3,1.00,3.00,12,0.00,0,0.00,00:45:54,4,0,6,0,4
20210214,19,00:11:27,00:00:45,00:00:00,50.00%,2,3,56,2,1.00,13.25,53,0.00,0,0.00,00:45:47,4,0,38,0,4
20210226,12,00:11:15,00:02:45,00:00:00,66.67%,2,2,16,3,1.00,4.00,12,0.00,0,0.00,00:33:46,3,0,9,0,3
20210216,14,00:11:15,00:03:45,00:00:00,50.00%,1,2,11,1,1.00,4.00,8,0.00,0,0.00,00:22:29,2,0,8,0,2
20210103,16,00:11:12,00:01:24,00:00:00,25.00%,1,3,40,4,1.00,8.75,35,0.00,0,0.00,00:44:49,4,0,24,0,4
20201207,15,00:11:06,00:04:27,00:00:00,0.00%,0,2,8,2,1.00,3.50,7,0.00,0,0.00,00:22:12,2,0,6,0,2
20210125,15,00:11:06,00:01:39,00:00:00,0.00%,0,4,35,4,1.00,7.75,31,0.00,0,0.00,00:44:22,4,0,24,0,4
20210105,09,00:11:04,00:08:18,00:00:00,0.00%,0,3,7,3,1.00,2.33,7,0.00,0,0.00,00:33:13,3,0,6,0,3
20201023,13,00:11:03,00:06:26,00:00:00,50.00%,1,1,5,2,1.00,2.00,4,0.00,0,0.00,00:22:05,2,0,4,0,2
20201002,11,00:11:01,00:01:16,00:00:00,0.00%,0,3,46,2,1.00,9.50,38,0.00,0,0.00,00:44:05,4,0,26,0,4
20201109,17,00:10:58,00:03:35,00:00:00,0.00%,0,1,9,2,1.00,3.00,6,0.00,0,0.00,00:21:55,2,0,6,0,2
20210203,07,00:10:52,00:05:26,00:00:00,0.00%,0,2,4,0,0.50,4.00,4,0.00,0,0.00,00:10:52,1,0,3,0,2
20210213,02,00:10:51,00:03:37,00:00:00,0.00%,0,1,4,1,1.00,4.00,4,0.00,0,0.00,00:10:51,1,0,3,0,1
20201223,10,00:10:43,00:01:50,00:00:00,0.00%,0,3,22,3,0.75,6.67,20,0.00,0,0.00,00:32:08,3,0,16,0,4
20201224,09,00:10:37,00:01:46,00:00:00,33.33%,1,4,26,3,0.75,7.67,23,0.00,0,0.00,00:31:51,3,0,18,0,4
20201221,17,00:10:30,00:02:55,00:00:00,0.00%,0,1,9,1,1.00,4.00,8,0.00,0,0.00,00:21:00,2,0,6,0,2
20210307,06,00:10:28,00:05:13,00:00:00,33.33%,1,2,8,2,1.00,2.67,8,0.00,0,0.00,00:31:23,3,0,6,0,3
20210125,09,00:10:24,00:01:30,00:00:00,0.00%,0,2,21,1,1.00,6.33,19,0.00,0,0.00,00:31:13,3,0,15,0,3
20210128,10,00:10:23,00:01:20,00:00:00,20.00%,1,4,29,3,1.00,5.20,26,0.00,0,0.00,00:51:56,5,0,23,0,5
20201021,19,00:10:21,00:00:14,00:00:00,0.00%,0,0,2,1,1.00,2.00,2,0.00,0,0.00,00:10:21,1,0,2,0,1
20210222,22,00:10:21,00:01:02,00:00:00,0.00%,0,1,16,1,1.00,11.00,11,0.00,0,0.00,00:10:21,1,0,7,0,1
