# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20200101-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
City,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
(not set),20210318,1,1,1,100.00%,1,00:00:00,0
(not set),20200705,1,1,1,0.00%,3,00:02:37,0
(not set),20200302,1,1,1,0.00%,4,00:03:08,0
(not set),20200305,1,0,1,0.00%,5,00:00:05,0
(not set),20210305,1,1,1,0.00%,13,00:08:26,2
(not set),20200804,1,1,1,0.00%,7,00:03:16,0
(not set),20200927,1,1,1,0.00%,2,00:00:18,0
(not set),20200726,1,1,1,0.00%,4,00:13:30,0
(not set),20201009,1,1,1,0.00%,2,00:00:09,0
(not set),20201221,1,1,1,0.00%,2,00:00:09,0
(not set),20210220,1,1,1,100.00%,1,00:00:00,0
(not set),20210208,1,1,1,0.00%,2,00:00:09,0
(not set),20200405,1,1,1,100.00%,1,00:00:00,0
(not set),20200613,1,1,1,0.00%,7,00:02:06,0
(not set),20200717,1,1,1,100.00%,1,00:00:00,0
(not set),20200910,1,1,1,100.00%,1,00:00:00,0
(not set),20200709,1,1,1,100.00%,1,00:00:00,0
(not set),20200212,1,1,1,0.00%,7,00:01:11,0
(not set),20200217,1,0,1,0.00%,16,00:10:50,1
(not set),20200302,1,1,1,100.00%,1,00:00:00,0
(not set),20210309,1,1,2,0.00%,3,00:00:28,0
(not set),20210310,1,0,1,0.00%,2,00:00:01,0
(not set),20210311,1,0,1,100.00%,1,00:00:00,0
(not set),20210312,1,0,1,100.00%,1,00:00:00,0
(not set),20210211,1,1,1,0.00%,2,00:05:19,0
Kattankulathur,20210311,1,1,1,100.00%,1,00:00:00,0
