# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20200101-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Browser,Device Category,Date,Sessions,Avg. Session Duration,Bounce Rate,Users,Pages / Session,Transactions
Chrome,desktop,20200805,16,00:03:06,31.25%,14,5.12,1
Chrome,desktop,20200918,16,00:02:19,12.50%,13,4.62,1
Chrome,desktop,20200922,16,00:01:09,25.00%,14,3.69,1
Chrome,desktop,20200930,16,00:03:52,25.00%,14,5.56,3
Chrome,desktop,20201204,16,00:06:45,31.25%,13,4,0
Chrome,desktop,20201216,16,00:03:36,31.25%,16,3.44,1
Chrome,desktop,20201218,16,00:00:59,37.50%,14,3.25,0
Chrome,desktop,20210204,16,00:04:50,50.00%,14,6.69,7
Chrome,desktop,20210205,16,00:05:53,25.00%,16,5.75,1
Chrome,desktop,20210217,16,00:01:47,43.75%,14,3.94,2
Chrome,desktop,20210225,16,00:00:38,43.75%,14,2.38,1
Chrome,desktop,20210226,16,00:04:49,25.00%,16,5.56,5
Chrome,mobile,20201009,16,00:02:14,18.75%,11,6.19,1
Edge,desktop,20200317,16,00:00:00,100.00%,16,1,0
Safari,mobile,20200204,16,00:02:20,31.25%,8,4.62,1
Safari,mobile,20200208,16,00:02:28,37.50%,16,3.56,1
Safari,mobile,20200624,16,00:01:45,62.50%,14,2.94,1
Safari,mobile,20200704,16,00:01:05,31.25%,12,3.94,0
Safari,mobile,20200824,16,00:00:26,31.25%,15,2.12,0
Safari,mobile,20200920,16,00:03:11,12.50%,14,3.25,0
Safari,mobile,20201003,16,00:00:27,25.00%,13,2.62,0
Safari,mobile,20201007,16,00:01:05,43.75%,13,2.75,0
Safari,mobile,20201020,16,00:01:09,31.25%,14,3.38,0
Safari,mobile,20210106,16,00:01:07,43.75%,15,2.19,1
Safari,mobile,20210110,16,00:01:02,43.75%,13,2.44,0
Safari,mobile,20210112,16,00:00:51,43.75%,13,2.88,0
Safari,mobile,20210118,16,00:01:33,43.75%,15,2.81,1
Safari,mobile,20210130,16,00:01:06,31.25%,14,2.44,0
Safari,mobile,20210202,16,00:02:51,25.00%,14,7.44,5
Safari,mobile,20210221,16,00:01:00,43.75%,16,3.44,0
Safari,mobile,20210308,16,00:00:52,43.75%,15,3.69,0
Safari,mobile,20210316,16,00:01:40,56.25%,13,4.12,1
Chrome,desktop,20200120,15,00:01:41,26.67%,13,6.13,1
Chrome,desktop,20200204,15,00:05:31,13.33%,15,7.6,3
Chrome,desktop,20200211,15,00:02:26,46.67%,15,3.87,2
Chrome,desktop,20200219,15,00:01:56,33.33%,15,3.07,1
Chrome,desktop,20200226,15,00:06:44,20.00%,11,6.8,9
Chrome,desktop,20200227,15,00:01:29,40.00%,14,3.87,1
Chrome,desktop,20200317,15,00:00:18,73.33%,15,1.8,0
Chrome,desktop,20200526,15,00:01:20,33.33%,13,3,0
Chrome,desktop,20200601,15,00:05:54,13.33%,13,3.8,0
Chrome,desktop,20200610,15,00:01:21,40.00%,14,2.73,0
Chrome,desktop,20200622,15,00:00:48,33.33%,15,3.13,0
Chrome,desktop,20200721,15,00:03:42,0.00%,14,4.13,1
Chrome,desktop,20200727,15,00:07:05,13.33%,15,4.4,1
Chrome,desktop,20200819,15,00:03:45,6.67%,13,5.4,2
Chrome,desktop,20200910,15,00:02:28,20.00%,14,3.33,0
Chrome,desktop,20201006,15,00:01:59,20.00%,11,3.73,0
Chrome,desktop,20201023,15,00:03:36,46.67%,13,3.13,0
Chrome,desktop,20201222,15,00:02:18,20.00%,15,3.8,1
Chrome,desktop,20201223,15,00:05:07,20.00%,13,9.07,3
Chrome,desktop,20210105,15,00:04:50,33.33%,15,4.13,0
Chrome,desktop,20210106,15,00:01:43,40.00%,15,2.93,1
Chrome,desktop,20210203,15,00:06:31,13.33%,14,5.67,2
Chrome,desktop,20210218,15,00:02:48,53.33%,15,4.2,1
Chrome,desktop,20210304,15,00:06:35,26.67%,14,5.87,3
Chrome,desktop,20210311,15,00:00:57,46.67%,14,3.87,0
Chrome,desktop,20210317,15,00:01:21,46.67%,15,3,0
Chrome,mobile,20200218,15,00:02:54,13.33%,13,3.8,0
Chrome,mobile,20200726,15,00:00:33,53.33%,11,2,0
Chrome,mobile,20200911,15,00:02:48,53.33%,10,5.73,0
Chrome,mobile,20200929,15,00:01:59,26.67%,10,4.6,0
Safari,desktop,20210208,15,00:06:24,20.00%,12,7.8,9
Safari,mobile,20200201,15,00:00:19,40.00%,15,1.93,0
Safari,mobile,20200209,15,00:01:54,40.00%,12,3.4,2
Safari,mobile,20200221,15,00:01:08,20.00%,10,2.93,0
Safari,mobile,20200223,15,00:02:20,33.33%,12,2.93,0
Safari,mobile,20200305,15,00:00:25,46.67%,12,2.4,0
Safari,mobile,20200616,15,00:02:37,33.33%,13,5.67,1
Safari,mobile,20200618,15,00:01:31,20.00%,13,3.33,0
Safari,mobile,20200701,15,00:03:48,20.00%,12,3.47,0
Safari,mobile,20200713,15,00:02:08,46.67%,15,3.73,0
Safari,mobile,20200727,15,00:04:16,46.67%,12,3.4,0
Safari,mobile,20200830,15,00:00:44,13.33%,12,3.4,0
Safari,mobile,20200909,15,00:04:10,20.00%,13,4.73,1
Safari,mobile,20200925,15,00:01:19,33.33%,10,3.07,0
Safari,mobile,20201018,15,00:00:20,46.67%,14,1.67,0
Safari,mobile,20201127,15,00:00:27,46.67%,14,1.87,0
Safari,mobile,20210114,15,00:00:54,20.00%,13,3.2,1
Safari,mobile,20210120,15,00:01:29,60.00%,14,1.93,0
Safari,mobile,20210222,15,00:01:11,33.33%,12,2.4,3
Safari,mobile,20210310,15,00:02:47,46.67%,13,2.87,1
Safari,mobile,20210313,15,00:01:33,33.33%,15,3.87,0
Samsung Internet,mobile,20200911,15,00:08:32,33.33%,4,4.27,0
Chrome,desktop,20200113,14,00:03:40,35.71%,14,4.14,2
Chrome,desktop,20200117,14,00:00:43,28.57%,14,2.79,0
